drive,split,segment_id,frame_t,frame_t1,dt_s,gt_lat_t,gt_lon_t,gt_lat_t1,gt_lon_t1,gt_yaw_t_rad,gt_yaw_t1_rad,gt_dyaw_rad,gt_dx_m,gt_dy_m,gt_step_m,motion_regime,folder
2011_09_26_drive_0009_sync,train,0,0,1,0.109994906,49.009347760599,8.4371344308375,49.009344871709,8.4371499178574,-0.2697266732051,-0.2696086732051,0.0001180000000000625,1.1756447398395402,-0.008630089986032818,1.175676414990769,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,1,2,0.100048068,49.009344871709,8.4371499178574,49.009342262652,8.4371640536639,-0.2696086732051,-0.2696576732051,-4.899999999974369e-05,1.0722472910733678,-0.005022699523932195,1.0722590548578657,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,2,3,0.100010516,49.009342262652,8.4371640536639,49.009339636747,8.4371781540271,-0.2696576732051,-0.2695066732051,0.0001509999999997902,1.070252737343674,-0.007467329424346636,1.0702787874195951,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,3,4,0.109930902,49.009339636747,8.4371781540271,49.009336728127,8.4371936621844,-0.2695066732051,-0.2691476732051,0.0003589999999999982,1.1777154843234459,-0.010594788484612927,1.1777631389877348,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,4,5,0.100020411,49.009336728127,8.4371936621844,49.00933409999,8.4372077307197,-0.2691476732051,-0.2689336732051,0.0002140000000001585,1.068074614864149,-0.00887062839777597,1.0681114506292737,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,5,6,0.110072485,49.00933409999,8.4372077307197,49.009331218946,8.4372231866491,-0.2689336732051,-0.2686856732051,0.000248000000000026,1.1732171777971938,-0.009323468331957296,1.1732542236617558,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,6,7,0.100076729,49.009331218946,8.4372231866491,49.009328642942,8.4372373010387,-0.2686856732051,-0.2685406732051,0.0001449999999998397,1.0697579894187716,-0.002880020698043717,1.06976186623216,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,7,8,0.099869546,49.009328642942,8.4372373010387,49.009326133312,8.4372515308093,-0.2685406732051,-0.2684706732051,7.00000000000145e-05,1.0759201893165902,0.006324125746407838,1.0759387753703755,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,8,9,0.109999766,49.009326133312,8.4372515308093,49.009323388409,8.437267180108,-0.2684706732051,-0.2682586732051,0.00021199999999987895,1.1828066348218993,0.008490942560695602,1.182837111137571,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,9,10,0.100011502,49.009323388409,8.437267180108,49.009320791575,8.437281291901,-0.2682586732051,-0.2681186732051,0.000140000000000029,1.0701886004881416,-0.005622869088386329,1.0702033719212214,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,10,11,0.099961983,49.009320791575,8.437281291901,49.009317982573,8.4372953419674,-0.2681186732051,-0.2681476732051,-2.9000000000056758e-05,1.0720986541152648,-0.029741283948874486,1.0725111039642852,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,11,12,0.110142274,49.009317982573,8.4372953419674,49.009315013537,8.4373106807815,-0.2681476732051,-0.2681456732051,1.9999999998354667e-06,1.167559066092141,-0.02195639891316925,1.1677654971213984,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,12,13,0.099930842,49.009315013537,8.4373106807815,49.009312268204,8.4373245873168,-0.2681456732051,-0.2682426732051,-9.69999999997917e-05,1.0601158594283762,-0.02565471306962136,1.0604262349236033,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,13,14,0.099979521,49.009312268204,8.4373245873168,49.009309585826,8.4373384392202,-0.2682426732051,-0.2680556732051,0.00018699999999993722,1.0544145023616507,-0.019851642637547795,1.0546013609444929,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,14,15,0.109990032,49.009309585826,8.4373384392202,49.009306654114,8.4373536084938,-0.2680556732051,-0.2679066732051,0.00014899999999995472,1.1545192811495304,-0.021336079837721844,1.1547164149040534,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,15,16,0.100016322,49.009306654114,8.4373536084938,49.00930402132,8.4373673346313,-0.2679066732051,-0.2677236732051,0.0001829999999998222,1.0440911067210354,-0.01731405791458346,1.0442346554943607,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,16,17,0.100017439,49.00930402132,8.4373673346313,49.00930139016,8.4373810155149,-0.2677236732051,-0.2675866732051,0.00013700000000005375,1.0408531973132138,-0.018203824247361444,1.0410123714799786,high,2011_09_26_drive_0009_sync
2011_09_26_drive_0009_sync,train,0,17,18,0.10999218,49.00930139016,8.4373810155149,49.009298502344,8.437395992937,-0.2675866732051,-0.2674996732051,8.700000000017027e-05,1.139707146332455,-0.020868888679230146,1.1398981927856426,high,2011_09_26_drive_0009_sync
